Accident_Chainage,Accident_LATITUDE,Accident_LONGITUDE,Equipment_Chainage,Equip_LATITUDE,Equip_LONGITUDE
0.1,78.3446099909999,17.3988599909999,0.2,78.34551,17.39976
0.1,78.3446099909999,17.3988599909999,0.2,78.34551,17.39976
0.1,78.3446099909999,17.3988599909999,0.2,78.34551,17.39976
0.2,78.34551,17.39976,0.2,78.34551,17.39976
0.25,78.3459600045,17.4002100045,0.2,78.34551,17.39976
0.5,78.3413099909999,17.4001599909999,0.6,78.34221,17.40106
0.5,78.3413099909999,17.4001599909999,0.6,78.34221,17.40106
0.5,78.3413099909999,17.4001599909999,0.6,78.34221,17.40106
0.52,78.3414899927999,17.4003399927999,0.6,78.34221,17.40106
0.65,78.3426600045,17.4015100045,0.6,78.34221,17.40106
1,78.3355099819998,17.4020699819998,1.2,78.33731,17.40387
1,78.3355099819998,17.4020699819998,1.2,78.33731,17.40387
1,78.3355099819998,17.4020699819998,1.2,78.33731,17.40387
1,78.3355099819998,17.4020699819998,1.2,78.33731,17.40387
1.05,78.3359599864999,17.4025199864999,1.2,78.33731,17.40387
1.1,78.3364099909999,17.4029699909999,1.2,78.33731,17.40387
1.2,78.33731,17.40387,1.2,78.33731,17.40387
1.2,78.33731,17.40387,1.2,78.33731,17.40387
1.2,78.33731,17.40387,1.2,78.33731,17.40387
1.3,78.3354099909999,17.4034499909999,1.4,78.33631,17.40435
1.5,78.3372100090001,17.4052500090001,1.4,78.33631,17.40435
1.5,78.3372100090001,17.4052500090001,1.4,78.33631,17.40435
1.5,78.3372100090001,17.4052500090001,1.4,78.33631,17.40435
1.6,78.33371,17.40511,1.6,78.33371,17.40511
1.7,78.33343,17.40576,1.7,78.33343,17.40576
1.7,78.33343,17.40576,1.7,78.33343,17.40576
1.7,78.33343,17.40576,1.7,78.33343,17.40576
1.7,78.33343,17.40576,1.7,78.33343,17.40576
1.7,78.33343,17.40576,1.7,78.33343,17.40576
1.7,78.33343,17.40576,1.7,78.33343,17.40576
1.7,78.33343,17.40576,1.7,78.33343,17.40576
1.7,78.33343,17.40576,1.7,78.33343,17.40576
1.7,78.33343,17.40576,1.7,78.33343,17.40576
1.7,78.33343,17.40576,1.7,78.33343,17.40576
1.7,78.33343,17.40576,1.7,78.33343,17.40576
1.8,78.3343300090001,17.4066600090001,1.7,78.33343,17.40576
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2,78.3308500018,17.4073600018,1.98,78.33067,17.40718
2.3,78.32788,17.40813,2.3,78.32788,17.40813
2.3,78.32788,17.40813,2.3,78.32788,17.40813
2.3,78.32788,17.40813,2.3,78.32788,17.40813
2.3,78.32788,17.40813,2.3,78.32788,17.40813
2.3,78.32788,17.40813,2.3,78.32788,17.40813
2.3,78.32788,17.40813,2.3,78.32788,17.40813
2.3,78.32788,17.40813,2.3,78.32788,17.40813
2.3,78.32788,17.40813,2.3,78.32788,17.40813
2.3,78.32788,17.40813,2.3,78.32788,17.40813
2.3,78.32788,17.40813,2.3,78.32788,17.40813
2.3,78.32788,17.40813,2.3,78.32788,17.40813
2.3,78.32788,17.40813,2.3,78.32788,17.40813
2.4,78.3281300063001,17.4094200063001,2.33,78.3275,17.40879
2.5,78.3290300153002,17.4103200153002,2.33,78.3275,17.40879
2.85,78.3256800135001,17.4111100135001,2.7,78.32433,17.40976
3,78.3270300270003,17.4124600270003,2.7,78.32433,17.40976
3,78.3270300270003,17.4124600270003,2.7,78.32433,17.40976
3.1,78.3279300360004,17.4133600360004,2.7,78.32433,17.40976
3.1,78.3279300360004,17.4133600360004,2.7,78.32433,17.40976
3.3,78.3106599594996,17.4078999594996,3.75,78.31471,17.41195
3.4,78.3115599684997,17.4087999684997,3.75,78.31471,17.41195
3.5,78.3124599774998,17.4096999774998,3.75,78.31471,17.41195
3.55,78.3129099819998,17.4101499819998,3.75,78.31471,17.41195
3.6,78.3133599864999,17.4105999864999,3.75,78.31471,17.41195
3.6,78.3133599864999,17.4105999864999,3.75,78.31471,17.41195
3.65,78.3138099909999,17.4110499909999,3.75,78.31471,17.41195
3.8,78.3151600045,17.4124000045,3.75,78.31471,17.41195
4,78.3143600090001,17.4130100090001,3.9,78.31346,17.41211
4,78.3143600090001,17.4130100090001,3.9,78.31346,17.41211
4,78.3143600090001,17.4130100090001,3.9,78.31346,17.41211
4,78.3143600090001,17.4130100090001,3.9,78.31346,17.41211
4,78.3143600090001,17.4130100090001,3.9,78.31346,17.41211
4.05,78.3148100135001,17.4134600135001,3.9,78.31346,17.41211
4.1,78.3152600180002,17.4139100180002,3.9,78.31346,17.41211
4.1,78.3152600180002,17.4139100180002,3.9,78.31346,17.41211
4.15,78.3157100225002,17.4143600225002,3.9,78.31346,17.41211
4.35,78.3175100405004,17.4161600405004,3.9,78.31346,17.41211
4.5,78.3018199702997,17.4097799702997,4.83,78.30479,17.41275
4.7,78.3036199882999,17.4115799882999,4.83,78.30479,17.41275
4.8,78.3045199973,17.4124799973,4.83,78.30479,17.41275
4.83,78.30479,17.41275,4.83,78.30479,17.41275
4.85,78.3049700018,17.4129300018,4.83,78.30479,17.41275
5,78.3063200153002,17.4142800153002,4.83,78.30479,17.41275
5,78.3063200153002,17.4142800153002,4.83,78.30479,17.41275
5.2,78.3081200333003,17.4160800333003,4.83,78.30479,17.41275
5.4,78.2912099594996,17.4088699594996,5.85,78.29526,17.41292
5.4,78.2912099594996,17.4088699594996,5.85,78.29526,17.41292
5.55,78.2925599729997,17.4102199729997,5.85,78.29526,17.41292
5.67,78.2936399837998,17.4112999837998,5.85,78.29526,17.41292
5.7,78.2939099864999,17.4115699864999,5.85,78.29526,17.41292
5.7,78.2939099864999,17.4115699864999,5.85,78.29526,17.41292
5.85,78.29526,17.41292,5.85,78.29526,17.41292
