Accident_Chainage,Equipment_Chainage,Equip_LATITUDE,Equip_LONGITUDE,Location
0.1,0.2,78.34551,17.39976,Kokapet_0.00_OUTER
0.1,0.2,78.34551,17.39976,Kokapet_0.100 Inner
0.1,0.2,78.34551,17.39976,Kokapet_0.000_Outer
0.2,0.2,78.34551,17.39976,Kokapet_0.000_Outer
0.25,0.2,78.34551,17.39976,Kokapet_0.000 Outer
0.5,0.6,78.34221,17.40106,Kokapet
0.5,0.6,78.34221,17.40106,Kokapet_0.500 _outer
0.5,0.6,78.34221,17.40106,Kokapet_0.500 Outer
0.52,0.6,78.34221,17.40106,Kokapet_0.520_inner
0.65,0.6,78.34221,17.40106,Kokapet_0.650_Inner
1,1.2,78.33731,17.40387,Kokapet
1,1.2,78.33731,17.40387,Kokapet_1.000_INNER
1,1.2,78.33731,17.40387,Kokapet_1.000 Inner
1,1.2,78.33731,17.40387,Kokapet_1.000 Inner
1.05,1.2,78.33731,17.40387,Kokapet_1.050 Inner
1.1,1.2,78.33731,17.40387,Kokapet_1.100_inner
1.2,1.2,78.33731,17.40387,Kokapet
1.2,1.2,78.33731,17.40387,Kokapet_1.200_Outer
1.2,1.2,78.33731,17.40387,Kokapet_1.200 Inner
1.3,1.4,78.33631,17.40435,Kokapet_1.300_inner
1.5,1.4,78.33631,17.40435,Kokapet_1.500_Inner
1.5,1.4,78.33631,17.40435,Kokapet_1.500_Outer
1.5,1.4,78.33631,17.40435,Kokapet_1.500_Outer
1.6,1.6,78.33371,17.40511,Kokapet_1.600 Outer
1.7,1.7,78.33343,17.40576,Kokapet_1.700_Outer
1.7,1.7,78.33343,17.40576,Kokapet_Exit-01_inner
1.7,1.7,78.33343,17.40576,Kokapet_Exit-1_inner
1.7,1.7,78.33343,17.40576,Kokapet_Exit-1_inner
1.7,1.7,78.33343,17.40576,Kokapet_Exit-1_inner
1.7,1.7,78.33343,17.40576,Kokapet_1.700 Outer
1.7,1.7,78.33343,17.40576,Kokapet_1.700_Outer
1.7,1.7,78.33343,17.40576,Kokapet_1.700_Outer
1.7,1.7,78.33343,17.40576,Kokapet_1.700_Outer
1.7,1.7,78.33343,17.40576,Kokapet_1.700_Inner
1.7,1.7,78.33343,17.40576,Kokapet_1.700 Inner
1.8,1.7,78.33343,17.40576,Kokapet_1.800_INNER
2,1.98,78.33067,17.40718,Kokapet
2,1.98,78.33067,17.40718,Kokapet
2,1.98,78.33067,17.40718,kokapet
2,1.98,78.33067,17.40718,Kokapet
2,1.98,78.33067,17.40718,kokapet
2,1.98,78.33067,17.40718,Kokapet_2.000
2,1.98,78.33067,17.40718,Kokapet_2.000
2,1.98,78.33067,17.40718,Kokapet
2,1.98,78.33067,17.40718,Kokapet
2,1.98,78.33067,17.40718,Kokapet_2.000
2,1.98,78.33067,17.40718,Kokapet_2.000
2,1.98,78.33067,17.40718,Kokapet_2.000 Toll Plaza
2,1.98,78.33067,17.40718,Kokapet_2.000_Trauma
2,1.98,78.33067,17.40718,Kokapet_Exit 01
2,1.98,78.33067,17.40718,Kokapet_2.000_Trauma
2,1.98,78.33067,17.40718,Kokapet_2.000_Trauma
2,1.98,78.33067,17.40718,Kokapet_2.000_Trauma
2,1.98,78.33067,17.40718,Kokapet_2.000_Trauma
2,1.98,78.33067,17.40718,Kokapet_2.000_OUTER
2,1.98,78.33067,17.40718,Kokapet_2.000_Trauma
2,1.98,78.33067,17.40718,Kokapet_Toll 2.000
2,1.98,78.33067,17.40718,Kokapet_Toll Rotary
2,1.98,78.33067,17.40718,Kokapet_2.000_Trauma
2.3,2.3,78.32788,17.40813,Kokapet_2.300_inner
2.3,2.3,78.32788,17.40813,Kokapet_2.300_inner
2.3,2.3,78.32788,17.40813,Kokapet Exit-1_Outer
2.3,2.3,78.32788,17.40813,Kokapet_2.300_Outer
2.3,2.3,78.32788,17.40813,Kokapet_Exit - 01_OUTER
2.3,2.3,78.32788,17.40813,Kokapet_Exit - 01_OUTER
2.3,2.3,78.32788,17.40813,Kokapet_2.300_INNER
2.3,2.3,78.32788,17.40813,Kokapet_2.300_Inner
2.3,2.3,78.32788,17.40813,Kokapet_2.300_Outer
2.3,2.3,78.32788,17.40813,Kokapet_2.300 Inner
2.3,2.3,78.32788,17.40813,Kokapet_2.300 Outer
