Source
"[np.float64(17.40713), np.float64(78.33044)]"
"[np.float64(17.46308), np.float64(78.24922)]"
"[np.float64(17.53758), np.float64(78.23448)]"
"[np.float64(17.55849), np.float64(78.31313)]"
"[np.float64(17.5944), np.float64(78.40774)]"
"[np.float64(17.59829), np.float64(78.49089)]"
"[np.float64(17.57643), np.float64(78.57166)]"
"[np.float64(17.44174), np.float64(78.66665)]"
"[np.float64(17.37449), np.float64(78.68084)]"
"[np.float64(17.31975), np.float64(78.6568)]"
"[np.float64(17.23785), np.float64(78.58414)]"
"[np.float64(17.21239), np.float64(78.52735)]"
"[np.float64(17.20388), np.float64(78.47619)]"
"[np.float64(17.2038), np.float64(78.40018)]"
"[np.float64(17.25335), np.float64(78.37928)]"
"[np.float64(17.35022), np.float64(78.36102)]"
