Demand Point
"[np.float64(17.354695), np.float64(78.67090999999999)]"
"[np.float64(17.549523333333333), np.float64(78.27773)]"
"[np.float64(17.3509225), np.float64(78.3596225)]"
"[np.float64(17.595073333333332), np.float64(78.50558666666667)]"
"[np.float64(17.213876666666668), np.float64(78.53442666666666)]"
"[np.float64(17.237940000000002), np.float64(78.381955)]"
"[np.float64(17.526233333333334), np.float64(78.64025666666667)]"
"[np.float64(17.571530000000003), np.float64(78.37946)]"
"[np.float64(17.416915), np.float64(78.34454)]"
"[np.float64(17.459216666666666), np.float64(78.25220333333333)]"
"[np.float64(17.44637), np.float64(78.66874333333332)]"
"[np.float64(17.5653775), np.float64(78.619475)]"
"[np.float64(17.2308175), np.float64(78.575885)]"
"[np.float64(17.31261), np.float64(78.65652800000001)]"
"[np.float64(17.6066), np.float64(78.45456999999999)]"
"[np.float64(17.527048333333333), np.float64(78.24003)]"
"[np.float64(17.3116225), np.float64(78.377375)]"
"[np.float64(17.2034), np.float64(78.41243333333334)]"
"[np.float64(17.2051), np.float64(78.48928000000001)]"
"[np.float64(17.559485), np.float64(78.325715)]"
"[np.float64(17.41343), np.float64(78.30131)]"
"[np.float64(17.398865), np.float64(78.68354500000001)]"
"[np.float64(17.3891725), np.float64(78.350535)]"
"[np.float64(17.48407), np.float64(78.6661)]"
"[np.float64(17.25649), np.float64(78.61857)]"
"[np.float64(17.258953333333334), np.float64(78.37756)]"
